nombre,direccion,factura,valor
Ferretería Don Lupe,Av. Insurgentes Sur 3579 Tlalpan CDMX,FAC-001,14200
Materiales Iztapalapa,Av. Tláhuac 3100 Iztapalapa CDMX,FAC-002,8750
Acabados Xochimilco,Prolongación División del Norte 6471 Xochimilco CDMX,FAC-003,22400
Constructora Pedregal,Av. Periférico Sur 4398 Pedregal de San Ángel CDMX,FAC-004,31600
Cerrajería La Llave,Calzada de Tlalpan 2811 Coyoacán CDMX,FAC-005,5300
Tienda El Clavo,Av. Universidad 1900 Copilco Universidad CDMX,FAC-006,9100
Herrería Cuauhtémoc,Av. Cuauhtémoc 740 Narvarte Poniente CDMX,FAC-007,17850
Distribuidora Roma,Av. Sonora 206 Roma Norte CDMX,FAC-008,6400
Mueblería Polanco,Av. Presidente Masaryk 343 Polanco CDMX,FAC-009,44000
Construcciones Santa Fe,Av. Vasco de Quiroga 3900 Santa Fe CDMX,FAC-010,28300
Ferretería Azcapotzalco,Av. Aquiles Serdán 980 Azcapotzalco CDMX,FAC-011,11200
Materiales Lindavista,Av. Instituto Politécnico Nacional 2508 Lindavista CDMX,FAC-012,7600
Acabados Gustavo A,Av. Eduardo Molina 1200 Gustavo A Madero CDMX,FAC-013,19500
Distribuidora Venustiano,Av. Fray Servando Teresa de Mier 150 Centro CDMX,FAC-014,8900
Herramientas Tepito,Eje 1 Norte 118 Tepito CDMX,FAC-015,3200
Materiales Ecatepec,Av. Central 200 Ecatepec de Morelos Estado de México,FAC-016,15400
Ferretería Neza,Av. Chimalhuacan 450 Nezahualcóyotl Estado de México,FAC-017,6800
Constructora Tlalnepantla,Av. Gustavo Baz 309 Tlalnepantla de Baz Estado de México,FAC-018,33200
Acabados Naucalpan,Blvd. Toluca 4 Naucalpan de Juárez Estado de México,FAC-019,21700
Materiales Cuautitlán,Av. Insurgentes 78 Cuautitlán Izcalli Estado de México,FAC-020,9300
Distribuidora Tultitlán,Av. Tultitlán 560 Tultitlán Estado de México,FAC-021,12100
Ferretería Coacalco,Av. Primero de Mayo 230 Coacalco de Berriozábal Estado de México,FAC-022,7400
Herrería Tecámac,Av. Federal 132 Tecámac Estado de México,FAC-023,18900
Materiales Valle de Chalco,Av. Tláhuac 890 Valle de Chalco Solidaridad Estado de México,FAC-024,5600
Constructora Ixtapaluca,Carretera Federal México Puebla Km 28 Ixtapaluca Estado de México,FAC-025,27800
Acabados Álvaro Obregón,Av. Revolución 1877 Álvaro Obregón CDMX,FAC-026,16300
Ferretería Benito Juárez,Av. Insurgentes Sur 602 Del Valle CDMX,FAC-027,11900
Materiales Miguel Hidalgo,Av. Marina Nacional 329 Tacuba CDMX,FAC-028,8200
Distribuidora Ventas Iztacalco,Av. Río Churubusco 601 Iztacalco CDMX,FAC-029,24600
Herrería Magdalena Contreras,Av. Luis Cabrera 400 La Magdalena Contreras CDMX,FAC-030,13700
