nombre,direccion,factura,valor
Ferretería El Tornillo,Av. Tláhuac 2500 Iztapalapa CDMX,FAC-2026-001,18500
Materiales Torres,Calzada de la Viga 340 Iztapalapa CDMX,FAC-2026-002,7200
Herrería Martínez,Av. Ermita Iztapalapa 450 CDMX,FAC-2026-003,32000
Construcciones López,Av. Canal de Garay 120 Iztapalapa CDMX,FAC-2026-004,4800
Plomería Rápida,Calzada Ignacio Zaragoza 890 Iztapalapa CDMX,FAC-2026-005,9600
Electro Sur,Av. Tláhuac 1200 CDMX,FAC-2026-006,21000
Maderas del Sur,Av. La Turba 340 Iztapalapa CDMX,FAC-2026-007,3500
Pinturas Vargas,Av. Texcoco 230 Iztapalapa CDMX,FAC-2026-008,6750
Refaccionaria Honda,Av. Rojo Gómez 560 Iztapalapa CDMX,FAC-2026-009,14200
Vidrios y Aluminios RM,Calzada de la Viga 890 CDMX,FAC-2026-010,8900
Soldadura Express,Av. Tláhuac 3400 CDMX,FAC-2026-011,5100
Químicos Industriales,Av. Churubusco 1200 Iztapalapa CDMX,FAC-2026-012,42000
Impermeabilizantes SA,Calzada Ermita Iztapalapa 780 CDMX,FAC-2026-013,11300
Jaime Torres Bodet 45 Iztapalapa CDMX,Jaime Torres Bodet 45 Iztapalapa CDMX,FAC-2026-014,2900
Acabados Finos GS,Av. Politécnico Nacional 2508 Gustavo A Madero CDMX,FAC-2026-015,38500
